id,title,release_date,vote_average,vote_count,popularity,original_language,overview,runtime,budget,revenue,top_actors
1233069,Exterritorial,2025-04-29,6.7,231,505.1585,de,"When her son vanishes inside a US consulate, ex-special forces soldier Sara does everything in her power to find him — and uncovers a dark conspiracy.",109,0,0,"Jeanne Goursaud, Dougray Scott, Lera Abova"
1241436,Warfare,2025-04-09,7.205,146,436.2016,en,"A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.",96,20000000,29503791,"D'Pharaoh Woon-A-Tai, Will Poulter, Cosmo Jarvis"
986056,Thunderbolts*,2025-04-30,7.544,621,417.2589,en,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",127,180000000,177327963,"Florence Pugh, Sebastian Stan, Julia Louis-Dreyfus"
1197306,A Working Man,2025-03-26,6.505,590,363.5091,en,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",116,40000000,89722806,"Jason Statham, Jason Flemyng, Merab Ninidze"
710258,Rust,2025-05-01,6.441,34,302.2244,en,"Infamous outlaw Harland Rust breaks his estranged grandson Lucas out of prison, after Lucas is convicted to hang for an accidental murder. The two must outrun legendary U.S Marshal Wood Helm and bounty hunter Fenton ""Preacher"" Lang who are hot on their tails. Deeply buried secrets rise from the ashes and an unexpected familial bond begins to form as the mismatched duo tries to survive the merciless American Frontier.",0,0,0,"Alec Baldwin, Josh Hopkins, Patrick Scott McDermott"
950387,A Minecraft Movie,2025-03-31,6.169,840,276.6921,en,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",101,150000000,874636560,"Jason Momoa, Jack Black, Sebastian Eugene Hansen"
668489,Havoc,2025-04-24,6.6,547,238.6355,en,"When a drug heist swerves lethally out of control, a jaded cop fights his way through a corrupt city's criminal underworld to save a politician's son.",107,90000000,0,"Tom Hardy, Jessie Mei Li, Timothy Olyphant"
37135,Tarzan,1999-06-18,7.4,6923,242.8597,en,"Tarzan was a small orphan who was raised by an ape named Kala since he was a child. He believed that this was his family, but on an expedition Jane Porter is rescued by Tarzan. He then finds out that he's human. Now Tarzan must make the decision as to which family he should belong to...",88,130000000,448200000,"Tony Goldwyn, Minnie Driver, Glenn Close"
822119,Captain America: Brave New World,2025-02-12,6.148,1759,212.8605,en,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",119,180000000,414757293,"Anthony Mackie, Harrison Ford, Danny Ramirez"
1144430,Last Bullet,2025-05-06,7.481,27,360.8958,fr,Car genius Lino returns to conclude his vendetta against Areski and the corrupt commander who ruined their lives in this turbo-charged trilogy finale.,111,0,0,"Alban Lenoir, Stéfi Celma, Nicolas Duvauchelle"
324544,In the Lost Lands,2025-02-27,6.332,340,186.644,en,"A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where she and her guide, the drifter Boyce, must outwit and outfight both man and demon.",102,55000000,4755330,"Milla Jovovich, Dave Bautista, Arly Jover"
1225915,Jewel Thief: The Heist Begins,2025-04-25,6.7,35,186.4233,hi,"In this high-octane battle of wits and wills, ingenious con artist Rehan devises a diamond heist while trying to outsmart Rajan, his sadistic adversary.",118,0,0,"Saif Ali Khan, Jaideep Ahlawat, Nikita Dutta"
1153714,Death of a Unicorn,2025-03-27,6.4,172,198.8344,en,"A father and daughter accidentally hit and kill a unicorn while en route to a weekend retreat, where his billionaire boss seeks to exploit the creature’s miraculous curative properties.",107,15000000,15983827,"Jenna Ortega, Paul Rudd, Will Poulter"
974573,Another Simple Favor,2025-03-07,6.2,185,159.7246,en,"Stephanie and Emily reunite on the beautiful island of Capri, Italy for Emily's extravagant wedding to a rich Italian businessman. Along with the glamorous guests, expect murder and betrayal to RSVP for a wedding with more twists and turns than the road from the Marina Grande to the Capri town square.",123,0,0,"Anna Kendrick, Blake Lively, Michele Morrone"
1471014,Van Gogh by Vincent,2025-03-26,6.4,14,145.0194,fr,"In a career that lasted only ten years, Vincent Van Gogh painted one subject more than any other: himself. This is the story of Vincent told using eight of his most iconic self-portraits.",46,0,0,"Zahra Ahmadi, Jack Etchells, Adam Woolley"
1233413,Sinners,2025-04-16,7.571,618,149.8042,en,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",138,90000000,244603597,"Michael B. Jordan, Miles Caton, Hailee Steinfeld"
